# toimiala ; tyyppi ; tunnus ; nimi ; jakaja ; CCY
terveydenhuolto ; S ; BIOBV ; Biohit B ; 1 ;  EUR
terveydenhuolto ; S ; OKDAV ; Oriola A ; 1 ; EUR
terveydenhuolto ; S ; OKDBV ; Oriola B ; 1 ; EUR
terveydenhuolto ; S ; OPTOMED ; Optomed ; 1 ; EUR
terveydenhuolto ; S ; ORNAV ; Orion A ; 1 ; EUR
terveydenhuolto ; S ; ORNBV ; Orion B ; 1 ; EUR
terveydenhuolto ; S ; PIHLIS ; Pihlajalinna ; 1 ; EUR
terveydenhuolto ; S ; REG1V ; Revenio Group ; 1 ; EUR
rahoitus ; S ; AKTIA ; Aktia; 1 ; EUR
rahoitus ; S ; CAPMAN ; CapMan; 1 ; EUR
rahoitus ; S ; CTY1S ; Citycon ; 1 ; EUR
rahoitus ; S ; ENENTO ; Enento ; 1 ; EUR
rahoitus ; S ; EQV1V ; eQ ; 1 ; EUR
rahoitus ; S ; EVLI ; Evli B ; 1 ; EUR
rahoitus ; S ; INVEST ; Investors House ; 1 ; EUR
rahoitus ; S ; KOJAMO ; Kojamo ; 1 ; EUR
rahoitus ; S ; NDA FI ; Nordea ; 1 ; EUR ;
rahoitus ; S ; OVARO ; Ovaro Kiinteistösijoitus Oyj ; 1 ; EUR
rahoitus ; S ; PNA1V ; Panostaja ; 1 ; EUR
rahoitus ; S ; SAMPO ; Sampo ; 1 ; EUR
rahoitus ; S ; SCI1V ; Sievi Capital ; 1 ; EUR
rahoitus ; S ; TAALA ; Taaleritehdas ; 1 ; EUR
rahoitus ; S ; UNIAV ; United Bankers ; 1 ; EUR
rahoitus ; S ; ALBAV ; Ålandsbanken A ; 1 ; EUR
rahoitus ; S ; ALBBV ; Ålandsbanken B ; 1 ; EUR
perusteollisuus ; S ; AFAGR ; Afarak Group ; 1 ; EUR
perusteollisuus ; S ; AM1 ; Ahlstrom-Munksjö ; 1 ; EUR
perusteollisuus ; S ; ENDOM ; Endomines ; 1 ; EUR
perusteollisuus ; S ; KEMIRA ; Kemira ; 1 ; EUR
perusteollisuus ; S ; METSA ; Metsä Board A ; 1 ; EUR
perusteollisuus ; S ; METSB ; Metsä Board B ; 1 ; EUR
perusteollisuus ; S ; OUT1V ; Outokumpu ; 1 ; EUR
perusteollisuus ; S ; SOSI1 ; Sotkamo Silver ; 1 ; EUR
perusteollisuus ; S ; SSABAH ; SSAB A ; 1 ; EUR
perusteollisuus ; S ; SSABBH ; SSAB B ; 1 ; EUR
perusteollisuus ; S ; STEAV ; Stora Enso A ; 1 ; EUR
perusteollisuus ; S ; STERV ; Stora Enso R ; 1 ; EUR
perusteollisuus ; S ; UPM ; UPM-Kymmene ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; ADAPT ; Adapteo ; 1 ; SEK
teollisuustuotteet ja -palvelut ; S ; ASPO ; Aspo ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; ACG1V ; Aspocomp Group ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; BOREO ; Boreo ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; CGCBV ; Cargotec ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; CAV1V ; Caverion ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; CTH1V ; Componenta ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; CONSTI ; Consti ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; DOV1V ; Dovre ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; ENEDO ; Enedo ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; ELEAV ; Elecster A ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; ETT1V ; Etteplan ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; EXL1V ; Exel Composites ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; GLA1V ; Glaston ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; HUH1V ; Huhtamäki ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; INC1V ; Incap ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; KELAS ; Kesla A ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; KNEBV ; Kone B ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; KCR ; Konecranes ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; KREATE ; Kreate Group ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; LAT1V ; Lassila & Tikanoja ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; LEHTO ; Lehto Group ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; MOCORP ; Metso Outotec; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; NELES ; Neles ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; REKA ; Reka industrial ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; NLG1V ; Nurminen logistics ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; PON1V ; Ponsse 1 ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; JPG1V ; Poyry ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; RAMI ; Ramirent ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; RAUTE ; Raute A ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; ROBIT ; Robit ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; SCL1V ; Scanfil ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; SRV1V ; SRV Yhtiöt ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; TNOM ; Talenom ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; TIK1V ; Tikkurila ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; TULAV ; Tulikivi A ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; UPONOR ; Uponor ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; UUTEC ; Uutechnic Group ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; WUF1V ; Wulff-Yhtiöt ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; WRT1V ; Wärtsilä; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; YIT ; YIT-Yhtymä ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; VAIAS ; Vaisala A ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; VALOE ; Valoe ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; VALMT ; Valmet ; 1 ; EUR
yhdyskuntapalvelut ; S ; FORTUM ; Fortum ; 1 ; EUR
energia ; S ; NESTE ; Neste; 1 ; EUR
tietoliikennepalvelut ; S ; ELISA ; Elisa ; 1 ; EUR
tietoliikennepalvelut ; S ; TELIA1 ; Telia ; 1 ; EUR ; Ruotsi
teknologia ; S ; BAS1V ; BasWare ; 1 ; EUR
teknologia ; S ; BITTI ; Bittium ; 1 ; EUR
teknologia ; S ; DIGIA ; Digia ; 1 ; EUR
teknologia ; S ; DIGIGR ; Digitalist Group ; 1 ; EUR
teknologia ; S ; FSC1V ; F-Secure ; 1 ; EUR
teknologia ; S ; IFA1V ; Innofactor ; 1 ; EUR
teknologia ; S ; NIXU ; Nixu ; 1 ; EUR
teknologia ; S ; NOKIA ; Nokia ; 1 ; EUR
teknologia ; S ; QPR1V ; QPR Software ; 1 ; EUR
teknologia ; S ; QTCOM ; Qt Group ; 1 ; EUR
teknologia ; S ; SIILI ; Siili Solutions ; 1 ; EUR
teknologia ; S ; SOL1V ; Solteq ; 1 ; EUR
teknologia ; S ; SOPRA ; Soprano ; 1 ; EUR
teknologia ; S ; SSH1V ; SSH Communications Security ; 1 ; EUR
teknologia ; S ; TEM1V ; Tecnotree; 1 ; EUR
teknologia ; S ; TEL1V ; Teleste ; 1 ; EUR
teknologia ; S ; TIETO ; TietoEVRY ; 1 ; EUR
teknologia ; S ; TRH1V ; Trainers House ; 1 ; EUR
Kulutuspalvelut ; S ; ALMA ; Alma Media ; 1 ; EUR
Kulutuspalvelut ; S ; FIA1S ; Finnair ; 1 ; EUR
Kulutuspalvelut ; S ; ILK2S ; Ilkka-yhtymä 2 ; 1 ; EUR
Kulutuspalvelut ; S ; KAMUX ; Kamux ; 1 ; EUR
Kulutuspalvelut ; S ; KSLAV ; Keskisuomalainen A ; 1 ; EUR
Kulutuspalvelut ; S ; KESKOA ; Kesko A ; 1 ; EUR
Kulutuspalvelut ; S ; KESKOB ; Kesko B ; 1 ; EUR
Kulutuspalvelut ; S ; MUSTI ; Musti Group ; 1 ; EUR
Kulutuspalvelut ; S ; NOHO ; NoHo Partners ; 1 ; EUR
